150
4 14
19 37 361
5 0 338
6 14 361
22 116 321
20 0 131
37 55 361
27 176
2 9 176
57 7 78
19 79 176
3 56 101
39 0 170
16 31 176
59 0 75
20 116 160
1 54 176
28 0 123
0 37 77
31 8 176
8 0 37
34 20 176
53 24 112
42 0 142
46 0 171
63 90 176
56 74 176
4 82 176
29 0 164
11 68 176
9 46 176
47 89 151
15 0 135
36 0 140
37 8 176
11 331
38 98 282
51 0 292
47 0 165
49 27 331
22 99 331
67 158 331
68 98 169
25 0 301
18 0 155
36 0 224
40 0 302
30 954
37 140 954
45 297 954
50 42 954
39 125 954
34 481 954
44 39 954
26 0 916
58 696 954
19 353 878
54 0 647
48 623 954
52 251 954
16 0 920
18 209 954
14 478 822
47 198 954
38 227 954
28 285 954
42 0 779
31 482 954
0 0 881
57 481 756
3 0 536
17 113 954
51 179 659
32 0 628
30 14 954
5 0 589
23 313 521
12 256 954
12 680
65 318 680
10 255 680
2 168 680
31 83 680
38 217 680
62 80 680
13 271 528
14 97 324
72 435 621
78 151 391
48 0 680
70 0 553
50 97756
100000 0 54175
19016 0 67626
78315 0 62848
4726 22222 94058
55400 0 59289
10639 55205 97756
4706 0 86529
32779 51166 97756
44558 0 43229
41952 26065 97756
71041 11622 97756
58382 0 97756
44365 9426 97756
45891 27462 97756
97623 0 49691
38914 19504 66727
28665 0 66699
32282 3988 97756
74957 0 91015
17799 0 97533
20760 0 69981
76378 0 78622
61602 0 54554
59706 0 67166
33016 0 70498
12112 0 75739
98696 0 84523
81202 0 62077
10310 0 76293
125 29080 97756
89181 12379 74389
32465 0 65516
71989 0 68472
52686 8757 45106
86427 0 96367
61301 0 78921
55510 19162 97756
99642 30056 97756
55546 24606 97756
89194 1977 55850
35503 0 75944
49800 0 72812
3671 0 43671
16797 59421 97756
44087 11308 97756
20754 0 53477
72359 0 60072
33546 29635 80484
4422 64667 97756
19561 7449 97756
4 328
7 0 197
26 209 328
29 0 243
2 115 328
7 184
30 0 156
26 0 168
58 0 106
74 24 184
28 91 184
31 10 184
21 0 141
37 730
47 0 295
54 35 583
20 0 651
28 72 730
58 284 546
19 83 730
56 65 438
77 30 730
3 0 709
74 56 730
4 0 519
42 187 444
69 0 653
51 108 730
67 305 621
18 347 730
29 244 467
25 305 633
72 65 431
31 126 343
68 98 730
70 220 533
87 0 617
65 0 730
45 0 620
91 172 336
66 0 677
46 358 605
50 280 730
33 0 273
92 0 723
9 0 671
53 0 533
24 0 342
81 470 730
36 0 407
39 0 324
41 939
5 0 894
115 218 939
1 28 686
87 0 939
111 583 939
85 541 939
11 0 639
21 0 411
117 354 899
121 414 939
101 0 684
88 0 818
16 304 939
86 0 913
73 539 903
106 265 939
61 116 939
84 429 939
118 182 723
13 6 939
43 62 939
105 492 939
83 555 939
70 180 939
38 0 794
42 0 772
108 0 651
17 0 624
55 12 939
4 0 903
44 253 939
58 0 530
39 526 939
93 253 939
119 0 717
24 72 939
33 0 570
66 80 939
56 327 939
67 175 939
95 230 939
39 426
35 207 351
21 0 257
23 0 379
16 0 359
17 90 426
54 231 364
11 132 426
49 168 426
34 0 376
13 0 175
47 55 426
25 335 426
53 103 342
29 37 312
7 164 426
12 74 426
45 15 426
3 0 243
41 0 385
48 194 426
39 0 386
22 96 426
37 95 297
8 30 426
43 116 426
20 0 362
44 85 426
50 0 410
10 238 426
28 0 425
38 202 426
40 0 342
0 0 313
52 121 426
36 80 426
4 121 426
24 6 426
51 263 426
19 130 426
38 927
83 0 679
23 251 590
49 0 260
71 15 927
29 372 927
7 121 927
6 0 777
57 190 689
37 81 927
65 38 927
21 484 927
43 584 927
82 0 629
35 214 927
28 0 565
79 550 794
10 120 927
1 0 448
89 0 865
97 79 291
67 637 923
80 262 927
34 0 927
8 321 772
25 0 736
96 118 313
15 0 683
33 0 753
24 472 927
76 0 475
47 417 927
13 0 647
98 0 621
78 247 927
64 477 927
20 373 927
32 237 884
55 96 927
41 775
62 0 218
14 114 775
9 0 502
4 0 642
10 64 775
6 382 775
56 280 775
59 0 574
78 0 516
38 412 775
41 0 623
33 0 629
54 1 602
62 375 775
50 0 671
43 18 502
16 0 422
51 0 666
48 0 396
47 209 775
44 0 633
40 0 440
13 0 608
20 0 654
72 401 775
73 497 775
18 0 240
58 0 615
26 0 381
3 0 318
55 0 288
45 81 378
80 0 362
19 128 775
23 0 707
2 0 259
64 222 775
24 0 698
68 398 775
42 280 775
61 0 739
27 650
98 193 650
60 0 325
73 0 358
12 0 548
81 0 414
22 320 650
53 199 474
90 0 612
27 242 650
66 0 495
13 0 648
9 104 598
91 437 650
68 51 650
103 8 650
21 95 650
49 0 315
104 501 644
83 0 377
99 0 558
56 0 628
72 0 190
41 350 650
28 437 648
1 355 650
95 0 510
32 170 650
36 992
109 52 992
10 0 714
123 582 992
51 0 855
18 0 665
5 106 992
124 243 992
55 281 683
90 0 835
115 245 992
34 194 992
89 0 967
79 421 992
107 0 481
2 292 786
75 0 350
87 148 779
1 0 815
49 0 494
35 0 540
63 324 992
42 250 949
105 5 992
66 0 971
19 0 893
23 61 992
94 0 826
4 0 825
98 0 960
40 0 519
76 0 618
121 0 958
69 24 992
33 0 871
118 0 905
45 0 967
10 79
36 9 79
40 0 79
49 0 61
6 0 22
18 8 53
65 13 79
63 56 79
9 0 45
75 18 79
38 1 46
9 414
100 283 414
4 79 383
67 74 414
37 0 307
80 66 414
63 80 291
89 0 409
77 73 414
12 0 390
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
10 343
6 31 343
5 1 343
1 0 270
3 43 343
28 0 315
19 0 312
10 0 172
27 11 343
11 0 148
8 0 276
20 700
26 2 401
68 381 700
16 170 700
52 56 700
10 0 642
22 0 624
17 0 406
53 0 556
2 379 700
46 286 700
71 119 700
47 106 700
19 0 435
6 0 679
30 0 214
62 0 330
37 39 700
80 87 612
79 0 405
27 73 700
45 445
40 109 418
55 0 349
45 0 173
24 211 445
49 41 445
47 86 445
51 286 405
66 0 386
54 244 445
9 0 207
14 0 162
39 29 445
61 0 187
37 279 401
36 0 389
28 218 366
56 0 403
17 50 445
44 37 445
8 2 402
31 253 445
68 249 424
15 6 283
20 134 445
5 195 445
42 282 445
26 0 299
13 174 445
2 0 373
46 0 285
21 26 445
6 0 172
4 59 445
38 82 300
70 151 295
41 48 445
43 59 435
7 24 445
62 155 445
0 0 229
3 0 264
16 0 427
53 78 445
64 0 236
30 154 445
2 218
0 0 170
27 0 207
14 799
18 0 424
22 100 435
8 0 389
36 0 451
9 278 799
26 425 799
23 5 201
16 0 742
47 178 799
11 88 799
21 384 799
43 0 697
15 49 799
7 0 575
49 59
0 7 59
44 15 32
46 34 59
40 27 59
4 14 59
41 0 57
16 43 59
42 0 34
6 0 22
47 22 59
26 0 38
55 0 55
30 1 59
27 0 54
1 18 59
29 0 57
57 33 59
53 4 59
65 0 56
32 0 47
58 30 59
22 0 41
62 11 59
49 29 59
15 0 51
43 0 45
45 6 59
9 17 59
56 23 59
60 27 59
8 0 24
38 20 59
34 22 55
5 18 48
67 0 55
18 1 55
20 32 59
24 25 59
23 0 51
31 6 25
6 24 59
52 0 33
54 0 58
14 6 59
61 0 37
16 26 38
66 0 50
2 0 54
21 8 59
46 654
41 292 488
85 0 431
88 64 654
95 264 459
26 425 654
43 0 265
8 0 540
18 214 654
50 128 654
48 0 608
71 214 654
35 212 654
76 221 654
69 3 654
66 126 654
20 489 646
44 365 654
47 107 654
79 26 270
30 176 654
56 0 640
89 94 253
1 433 654
21 0 283
32 143 390
2 0 353
72 126 654
61 191 654
86 395 654
55 14 654
17 0 464
93 0 282
57 0 459
28 0 551
54 0 508
64 0 585
90 51 654
78 324 654
52 0 460
68 214 654
25 66 654
34 256 654
16 204 654
53 142 654
67 0 591
14 29 654
16 819
76 0 357
15 141 819
45 0 556
61 275 819
18 214 819
49 0 507
68 0 412
23 0 679
49 554 819
81 45 285
35 0 482
34 230 442
82 39 819
42 328 819
10 438 819
59 141 771
28 215
84 34 113
96 0 186
65 130 215
23 0 174
44 106 215
87 0 110
13 0 176
37 129 187
52 128 215
49 59 215
2 0 135
19 0 204
6 83 215
83 0 198
72 0 133
123 89 215
71 0 113
63 0 204
43 63 215
78 0 173
42 23 181
45 0 121
86 0 158
102 27 210
75 0 115
35 0 205
55 130 215
124 16 215
8 780
79 468 780
53 0 753
60 0 283
64 233 632
47 191 780
85 0 675
17 496 780
34 0 734
45 268
19 0 217
24 0 181
26 11 112
56 72 268
12 29 268
10 0 117
5 79 171
33 0 104
27 0 252
58 0 107
20 0 120
66 116 261
22 17 268
65 0 249
66 0 67
1 0 200
14 0 231
70 44 112
62 75 268
45 83 189
50 40 268
39 0 268
58 149 268
4 0 191
2 66 241
63 30 243
72 0 265
13 0 254
52 0 195
30 38 112
36 146 234
46 58 268
75 0 205
9 39 268
68 191 268
17 139 246
43 0 115
7 0 236
18 0 131
74 132 268
44 0 215
49 0 257
31 0 211
35 0 155
73 98 181
35 256
62 0 199
119 0 245
30 0 84
52 42 256
66 72 256
98 98 256
46 50 256
82 37 256
71 23 256
64 0 228
111 56 256
88 86 256
100 0 135
81 15 256
112 0 205
12 19 256
10 0 231
116 109 256
27 52 256
91 150 236
17 0 178
90 50 256
42 72 218
32 0 176
16 42 256
2 0 180
24 55 256
93 1 256
102 0 111
75 116 202
34 0 227
13 41 256
95 0 220
9 77 256
109 0 236
12 783
5 0 617
28 208 783
17 255 494
0 40 783
23 235 783
1 433 719
30 61 783
18 0 662
7 0 606
10 371 783
3 0 296
3 389 783
45 888
3 111 888
58 0 517
8 0 834
16 491 855
44 0 523
51 407 628
56 267 888
9 0 702
53 125 888
38 433 888
40 45 888
57 67 582
52 153 853
54 154 888
2 5 888
6 541 888
0 245 888
23 131 888
47 220 888
7 406 888
30 0 710
43 214 888
22 139 888
55 0 657
31 280 719
24 0 595
32 38 888
27 129 888
10 0 342
46 0 798
36 487 888
14 222 888
45 311 888
25 0 741
11 221 888
10 619 888
37 351 888
1 660 843
18 0 588
39 357 715
12 474 888
26 0 583
13 0 713
4 0 673
49 72 488
1 693
71 0 478
46 231
35 0 206
29 34 231
68 0 215
59 0 203
74 29 76
83 0 158
132 91 231
63 33 231
14 32 198
139 1 231
124 126 231
47 13 94
9 0 180
42 0 178
97 0 157
79 0 191
73 77 147
78 45 170
38 72 231
93 0 164
58 32 122
105 0 139
53 164 222
135 22 231
43 30 231
28 0 207
117 21 231
128 0 152
120 52 159
99 0 166
131 0 224
7 62 231
94 0 231
113 0 222
57 0 200
130 54 231
0 0 160
20 0 199
72 0 118
6 33 231
77 48 231
48 110 187
47 156 204
102 0 172
70 0 130
71 0 169
36 131
108 19 131
39 33 131
107 0 61
79 93 131
116 0 99
53 0 128
31 58 90
89 52 131
41 0 114
112 0 126
72 0 100
48 33 131
37 16 131
120 80 131
82 0 100
56 37 131
44 0 118
1 0 104
33 27 70
66 0 116
20 0 76
46 35 74
6 20 74
17 69 131
15 55 131
86 11 131
47 87 121
60 3 131
29 8 131
22 2 32
99 2 131
12 0 106
13 0 128
121 27 62
10 72 131
94 0 83
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
8 620
53 0 607
89 384 620
52 454 612
58 397 620
84 186 620
3 0 368
19 0 357
2 0 363
7 30
10 0 10
20 0 10
5 8 21
15 7 20
25 9 22
10 20 30
20 20 30
2 474
25 0 436
85 141 474
27 744
53 317 744
29 0 687
22 0 382
48 124 402
1 212 613
43 290 744
47 282 476
26 256 744
8 301 744
15 0 696
13 309 639
4 443 744
14 117 744
10 0 485
11 0 640
5 160 744
7 0 744
40 0 355
44 182 414
52 63 744
6 0 578
17 0 358
24 0 636
13 0 302
12 0 733
25 0 657
51 0 717
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
19 369
46 0 312
79 31 148
62 86 369
79 168 322
1 0 287
17 256 369
86 178 297
63 73 241
45 0 356
51 51 308
53 138 369
72 0 357
60 266 340
66 213 369
91 0 262
34 146 250
67 7 325
61 60 369
94 0 325
16 241
16 49 235
39 0 208
51 23 223
1 186 241
50 123 241
53 75 241
28 0 127
54 31 241
40 0 208
26 153 214
56 0 145
6 114 171
17 48 241
9 97 200
25 9 241
13 0 120
3 461
2 0 459
51 0 153
66 0 156
21 61
70 7 50
28 0 31
41 0 19
106 12 53
16 0 39
116 32 56
113 4 38
118 0 59
50 0 42
68 7 61
86 8 52
125 0 59
11 24 37
9 0 30
3 16 61
27 0 48
120 30 60
30 0 52
45 3 61
29 16 61
48 21 36
22 937
27 0 803
122 18 937
90 0 725
101 123 635
113 186 937
97 104 791
57 716 928
22 122 601
2 170 937
8 0 605
100 0 501
91 0 472
109 25 924
9 340 937
62 41 641
99 0 653
37 93 937
52 0 545
64 68 937
35 89 937
29 338 937
68 0 480
43 922
58 38 502
0 93 922
108 117 922
34 0 854
28 387 922
89 71 922
125 0 609
30 40 472
74 0 922
36 0 345
33 154 922
52 338 922
118 85 778
12 0 356
121 329 922
135 279 922
131 421 635
92 0 435
60 0 670
96 0 689
103 235 922
116 0 607
55 123 922
27 464 922
39 408 922
76 150 898
24 238 922
17 252 922
31 415 922
87 0 807
3 457 721
6 0 654
2 0 539
134 13 200
128 0 425
18 0 820
51 0 892
45 619 826
57 0 421
62 311 530
98 14 922
115 0 680
67 411 922
50 96584
100000 0 94697
73849 14298 96584
93796 24441 96584
13460 24999 96584
10767 56877 96584
92069 44057 96584
75407 62653 96584
96263 10526 96584
3620 9617 74034
59437 0 63032
64203 40718 96283
17953 0 52219
35414 0 67173
59734 10674 96584
78977 0 37380
16388 4097 96584
10495 0 84305
34264 0 42586
53344 0 78592
46596 0 76741
767 0 82734
76046 0 92700
69677 57469 96584
71407 0 78091
66144 0 80435
48261 34023 96584
96994 3717 71988
28809 0 63831
14149 0 96584
97692 0 94155
12011 31215 96584
99283 21773 96584
30636 0 83267
69214 0 72741
9147 0 67523
58603 38955 96584
20284 38889 94358
58663 13951 65504
97228 0 42290
31577 44555 96584
65257 18384 96584
7620 0 78381
62421 0 57178
47356 35657 96584
5542 0 88859
1532 23726 96584
58719 4324 96584
12941 0 83068
48258 0 93141
73165 44971 96584
20 774
6 106 774
54 0 597
41 449 733
82 0 304
105 65 774
36 0 612
31 349 774
57 0 443
94 0 316
108 0 330
58 34 774
12 180 774
9 9 774
74 14 774
80 114 774
13 68 337
70 55 774
104 500 774
76 261 774
5 0 592
45 478
35 0 285
3 215 478
23 214 432
26 0 447
48 92 281
11 41 478
6 112 478
67 156 478
61 0 229
18 158 478
52 0 230
31 0 197
1 0 456
32 0 455
53 0 116
17 257 478
25 61 478
21 176 478
27 244 417
13 1 333
34 3 182
64 0 294
8 293 478
55 0 478
47 0 462
40 0 339
0 0 301
30 118 478
4 0 440
51 264 424
57 0 398
45 202 478
41 21 158
59 161 452
58 319 478
46 178 478
60 0 214
43 0 137
46 0 168
66 30 478
28 0 423
56 112 478
61 293 478
14 0 270
65 180 478
45 169
17 0 148
2 0 116
34 0 164
8 0 147
27 51 169
44 94 169
63 55 169
14 106 169
33 0 94
40 0 161
6 125 169
5 68 169
48 0 52
38 27 169
50 0 69
24 0 159
52 9 169
66 40 156
62 0 153
31 81 116
15 5 67
12 69 164
45 0 67
54 0 112
20 0 125
47 0 89
58 0 112
43 88 169
46 66 169
36 0 163
10 63 169
22 15 122
7 25 97
28 76 169
55 26 169
56 35 169
25 0 96
13 108 169
1 66 130
11 0 125
23 0 121
57 0 166
35 53 169
29 0 134
30 91 169
2 445
86 0 124
49 0 322
18 14
54 5 14
15 1 14
28 6 14
30 0 6
6 5 14
4 7 14
0 0 11
38 0 13
18 0 13
49 0 9
32 0 12
24 1 14
11 0 8
52 11 14
41 2 14
12 5 14
19 0 7
25 9 14
44 332
115 241 307
48 65 332
64 0 250
125 0 183
3 0 224
86 58 332
87 113 332
18 0 268
51 2 108
45 73 283
122 0 305
6 211 332
107 138 332
110 13 332
57 128 332
117 71 332
76 139 332
22 112 332
30 67 332
12 59 332
23 0 271
44 12 332
46 37 297
120 59 332
41 0 316
81 3 177
112 0 318
40 71 139
81 240 332
59 0 265
103 0 293
15 0 219
94 91 332
11 96 332
80 48 332
56 0 255
66 0 316
75 67 332
4 64 332
118 0 307
68 0 312
38 0 254
70 42 332
65 163 332
4 382
39 108 359
83 0 367
38 0 265
60 0 378
22 963
0 72 541
98 77 624
15 204 963
95 62 722
82 341 963
3 430 963
101 632 842
21 0 951
53 420 740
1 135 963
74 244 963
27 0 609
17 0 342
10 305 809
99 479 824
61 0 688
49 0 490
85 0 819
56 0 792
58 0 587
13 2 963
38 0 453
8 71
14 6 71
40 0 66
38 8 49
64 33 71
23 12 71
42 23 71
26 18 64
10 13 71
32 57
34 0 19
113 0 41
118 0 50
82 0 42
114 0 56
17 0 54
93 1 17
101 11 57
65 0 30
37 5 57
72 10 57
95 0 42
29 0 47
33 27 57
120 0 13
0 8 57
40 14 57
45 0 41
116 10 57
67 29 57
63 33 57
70 2 57
78 0 53
18 46 57
122 0 42
64 0 55
10 7 57
30 0 48
90 1 43
11 0 28
60 0 26
32 7 57
25 194
28 0 89
59 0 75
12 0 160
39 62 194
101 95 194
11 0 178
17 36 163
40 0 187
46 0 190
61 135 190
43 0 149
88 0 103
67 0 132
96 50 194
19 0 169
57 0 169
81 0 187
32 0 145
51 63 194
76 0 95
41 11 194
5 7 110
83 3 194
86 0 84
78 0 191
2 597
4 188 553
26 54 372
31 253
9 60 253
91 23 253
46 0 92
60 27 201
90 0 215
4 98 253
50 23 199
101 130 253
45 0 142
42 0 158
43 0 232
53 81 253
49 66 253
7 0 226
21 185 253
51 12 218
68 0 251
99 13 95
5 0 173
54 80 253
31 83 253
16 61 253
3 124 253
23 12 253
76 132 253
84 0 234
13 0 179
72 12 194
34 0 153
48 11 253
24 2 253
41 565
22 0 509
94 0 364
65 0 341
64 22 565
127 8 565
112 0 183
43 266 565
0 312 565
8 93 565
95 92 565
88 0 465
69 0 204
70 43 565
124 207 565
146 308 565
123 0 198
92 48 565
67 89 321
109 336 565
80 203 565
106 226 518
136 286 565
128 0 507
126 48 527
51 0 329
68 0 561
45 0 474
107 67 565
12 254 522
42 161 385
140 89 382
148 246 565
20 0 307
23 0 303
121 105 565
26 0 486
17 0 367
54 0 524
135 0 519
91 0 421
111 0 262
1 1
1 0 1
34 513
12 42 513
72 252 513
70 194 513
44 0 364
9 118 395
90 0 286
63 0 363
27 0 401
52 7 513
3 0 272
76 0 241
36 0 456
6 3 513
57 306 513
64 0 399
55 0 369
45 48 393
58 0 361
31 130 513
59 0 277
16 230 449
75 137 513
39 31 201
28 21 425
23 0 334
42 0 492
88 0 498
11 0 216
47 0 419
22 0 261
86 0 362
2 71 513
49 0 488
7 223 401
29 958
26 179 958
21 22 958
16 142 958
56 0 948
29 214 958
40 183 714
9 162 459
42 165 958
17 252 958
15 0 774
43 0 869
9 483 958
3 346 958
52 54 958
41 346 958
23 272 958
60 166 958
48 7 958
20 0 800
62 262 958
27 0 384
55 0 873
0 542 838
12 252 958
47 0 526
59 145 958
31 93 958
38 210 958
7 0 395
33 449
67 68 318
0 49 449
89 0 328
30 159 449
39 66 449
5 0 439
26 7 449
100 52 238
19 278 449
63 205 449
31 0 230
49 65 449
29 0 387
24 21 449
84 0 240
81 225 376
13 50 394
64 73 449
98 328 449
18 0 388
65 26 449
46 52 449
10 18 449
23 129 449
86 196 449
8 26 449
1 250 449
87 0 342
53 30 449
33 0 211
78 4 449
100 257 449
28 31 427
28 440
67 0 341
23 0 287
28 0 346
88 126 271
50 90 440
39 94 194
74 0 250
52 103 440
85 17 381
8 172 344
6 92 381
45 0 194
89 0 310
63 0 151
43 83 440
65 216 440
46 117 355
58 0 336
19 188 302
11 50 142
1 88 440
81 104 356
29 150 440
5 0 425
30 125 440
70 83 372
7 0 279
55 300 398
27 277
1 20 277
60 0 97
3 15 277
32 5 277
2 40 193
46 68 277
57 3 225
9 78 277
20 6 105
58 49 277
4 31 277
27 19 277
36 0 211
10 0 163
6 0 199
52 0 151
50 136 277
18 0 148
23 0 208
49 32 277
24 66 236
34 78 277
43 49 277
56 15 104
37 0 206
33 92 152
12 166 277
37 768
101 0 342
55 0 618
13 159 768
32 0 582
8 47 768
21 4 612
12 0 218
103 178 768
10 0 300
23 0 726
92 135 371
56 182 768
94 22 424
22 81 676
67 0 489
18 0 734
25 334 580
2 0 561
64 86 276
83 93 768
98 264 471
14 0 465
72 2 743
79 576 761
87 0 474
81 0 697
88 0 631
84 95 768
68 336 768
31 439 768
53 279 768
95 0 621
44 119 594
39 0 676
80 0 578
62 132 436
36 525 768
50 99629
100000 33578 99629
93968 58008 99629
7777 61870 99629
63063 0 97400
49423 0 88597
62415 0 75824
10072 0 56236
62713 0 24174
85176 0 67480
6616 18900 99629
76738 0 51095
57889 26965 99629
38741 20514 99629
70183 81 55049
10602 15490 83959
57447 5268 34357
54944 44803 99629
4636 8185 60844
64296 13420 99629
44812 0 94407
77498 10027 99629
67244 21994 79214
1358 0 37130
27065 0 58248
9235 0 97386
34017 30123 99629
56623 16271 93391
37431 29027 99629
80162 0 63839
24606 0 65291
82671 12616 99629
97632 10606 99629
44487 7651 85687
16618 0 53003
93589 50440 99629
9665 63272 99629
59069 0 90143
54268 0 48718
55186 16785 99629
42975 11523 99629
29368 65377 99629
9458 37811 99629
80076 28844 63130
40271 0 55631
56686 45484 86363
43977 0 65067
4344 35718 89107
28882 0 51635
15018 4056 99629
